,handcard,win_rate
0,"['S2', 'S3']",0.0432
1,"['S2', 'S4']",0.2724
2,"['S2', 'S5']",0.137
3,"['S2', 'S6']",0.156
4,"['S2', 'S7']",0.3574
5,"['S2', 'S8']",0.4264
6,"['S2', 'S9']",0.0986
7,"['S2', 'ST']",0.1086
8,"['S2', 'SJ']",0.1056
9,"['S2', 'SQ']",0.1166
10,"['S2', 'SK']",0.1424
11,"['S2', 'SA']",0.1838
12,"['S3', 'S2']",0.0482
13,"['S3', 'S4']",0.2808
14,"['S3', 'S5']",0.1446
15,"['S3', 'S6']",0.1554
16,"['S3', 'S7']",0.3704
17,"['S3', 'S8']",0.4454
18,"['S3', 'S9']",0.129
19,"['S3', 'ST']",0.1028
20,"['S3', 'SJ']",0.1066
21,"['S3', 'SQ']",0.1192
22,"['S3', 'SK']",0.1538
23,"['S3', 'SA']",0.1858
24,"['S4', 'S2']",0.2724
25,"['S4', 'S3']",0.276
26,"['S4', 'S5']",0.3606
27,"['S4', 'S6']",0.3826
28,"['S4', 'S7']",0.6526
29,"['S4', 'S8']",0.6614
30,"['S4', 'S9']",0.3326
31,"['S4', 'ST']",0.3304
32,"['S4', 'SJ']",0.335
33,"['S4', 'SQ']",0.334
34,"['S4', 'SK']",0.3386
35,"['S4', 'SA']",0.3392
36,"['S5', 'S2']",0.1356
37,"['S5', 'S3']",0.145
38,"['S5', 'S4']",0.3758
39,"['S5', 'S6']",0.8236
40,"['S5', 'S7']",0.4576
41,"['S5', 'S8']",0.5038
42,"['S5', 'S9']",0.2294
43,"['S5', 'ST']",0.2214
44,"['S5', 'SJ']",0.2252
45,"['S5', 'SQ']",0.248
46,"['S5', 'SK']",0.266
47,"['S5', 'SA']",0.3072
48,"['S6', 'S2']",0.1522
49,"['S6', 'S3']",0.1524
50,"['S6', 'S4']",0.3798
51,"['S6', 'S5']",0.8222
52,"['S6', 'S7']",0.4632
53,"['S6', 'S8']",0.5222
54,"['S6', 'S9']",0.347
55,"['S6', 'ST']",0.3098
56,"['S6', 'SJ']",0.2438
57,"['S6', 'SQ']",0.2732
58,"['S6', 'SK']",0.2818
59,"['S6', 'SA']",0.3184
60,"['S7', 'S2']",0.3582
61,"['S7', 'S3']",0.352
62,"['S7', 'S4']",0.6418
63,"['S7', 'S5']",0.4406
64,"['S7', 'S6']",0.4668
65,"['S7', 'S8']",0.682
66,"['S7', 'S9']",0.4374
67,"['S7', 'ST']",0.4374
68,"['S7', 'SJ']",0.435
69,"['S7', 'SQ']",0.4382
70,"['S7', 'SK']",0.4344
71,"['S7', 'SA']",0.44
72,"['S8', 'S2']",0.429
73,"['S8', 'S3']",0.445
74,"['S8', 'S4']",0.6694
75,"['S8', 'S5']",0.5122
76,"['S8', 'S6']",0.537
77,"['S8', 'S7']",0.6886
78,"['S8', 'S9']",0.5072
79,"['S8', 'ST']",0.4998
80,"['S8', 'SJ']",0.5052
81,"['S8', 'SQ']",0.5198
82,"['S8', 'SK']",0.5284
83,"['S8', 'SA']",0.52
84,"['S9', 'S2']",0.108
85,"['S9', 'S3']",0.1146
86,"['S9', 'S4']",0.3406
87,"['S9', 'S5']",0.2312
88,"['S9', 'S6']",0.3426
89,"['S9', 'S7']",0.4308
90,"['S9', 'S8']",0.5136
91,"['S9', 'ST']",0.3972
92,"['S9', 'SJ']",0.2948
93,"['S9', 'SQ']",0.1956
94,"['S9', 'SK']",0.2372
95,"['S9', 'SA']",0.2654
96,"['ST', 'S2']",0.1046
97,"['ST', 'S3']",0.1082
98,"['ST', 'S4']",0.3352
99,"['ST', 'S5']",0.2184
100,"['ST', 'S6']",0.341
101,"['ST', 'S7']",0.413
102,"['ST', 'S8']",0.5014
103,"['ST', 'S9']",0.395
104,"['ST', 'SJ']",0.2924
105,"['ST', 'SQ']",0.2032
106,"['ST', 'SK']",0.2376
107,"['ST', 'SA']",0.2644
108,"['SJ', 'S2']",0.112
109,"['SJ', 'S3']",0.1102
110,"['SJ', 'S4']",0.3338
111,"['SJ', 'S5']",0.2272
112,"['SJ', 'S6']",0.2346
113,"['SJ', 'S7']",0.432
114,"['SJ', 'S8']",0.501
115,"['SJ', 'S9']",0.2962
116,"['SJ', 'ST']",0.291
117,"['SJ', 'SQ']",0.1922
118,"['SJ', 'SK']",0.2302
119,"['SJ', 'SA']",0.2594
120,"['SQ', 'S2']",0.1172
121,"['SQ', 'S3']",0.1256
122,"['SQ', 'S4']",0.3192
123,"['SQ', 'S5']",0.2344
124,"['SQ', 'S6']",0.2666
125,"['SQ', 'S7']",0.4234
126,"['SQ', 'S8']",0.5046
127,"['SQ', 'S9']",0.1942
128,"['SQ', 'ST']",0.2024
129,"['SQ', 'SJ']",0.2002
130,"['SQ', 'SK']",0.2302
131,"['SQ', 'SA']",0.2654
132,"['SK', 'S2']",0.1352
133,"['SK', 'S3']",0.1484
