0.3712,0.01,,接收,频率,累积 %
0.3684,0.02,,0.01,0,0.00%
0.3636,0.03,,0.02,0,0.00%
0.3874,0.04,,0.03,0,0.00%
0.3896,0.05,,0.04,0,0.00%
0.4136,0.06,,0.05,0,0.00%
0.808,0.07,,0.06,0,0.00%
0.4224,0.08,,0.07,0,0.00%
0.4358,0.09,,0.08,0,0.00%
0.44,0.1,,0.09,0,0.00%
0.8698,0.11,,0.1,0,0.00%
0.4572,0.12,,0.11,0,0.00%
0.352,0.13,,0.12,0,0.00%
0.1266,0.14,,0.13,24,4.99%
0.1306,0.15,,0.14,27,10.60%
0.1356,0.16,,0.15,15,13.72%
0.1256,0.17,,0.16,6,14.97%
0.1396,0.18,,0.17,9,16.84%
0.5216,0.19,,0.18,21,21.21%
0.167,0.2,,0.19,12,23.70%
0.1778,0.21,,0.2,9,25.57%
0.2276,0.22,,0.21,15,28.69%
0.6936,0.23,,0.22,12,31.19%
0.2648,0.24,,0.23,27,36.80%
0.3686,0.25,,0.24,6,38.05%
0.1222,0.26,,0.25,9,39.92%
0.1326,0.27,,0.26,9,41.79%
0.13,0.28,,0.27,3,42.41%
0.124,0.29,,0.28,12,44.91%
0.139,0.3,,0.29,3,45.53%
0.5278,0.31,,0.3,12,48.02%
0.1798,0.32,,0.31,1,48.23%
0.1936,0.33,,0.32,3,48.86%
0.2234,0.34,,0.33,0,48.86%
0.6956,0.35,,0.34,1,49.06%
0.2776,0.36,,0.35,9,50.94%
0.3698,0.37,,0.36,6,52.18%
0.1268,0.38,,0.37,19,56.13%
0.1396,0.39,,0.38,9,58.00%
0.1558,0.4,,0.39,13,60.71%
0.1448,0.41,,0.4,12,63.20%
0.1584,0.42,,0.41,4,64.03%
0.5604,0.43,,0.42,7,65.49%
0.1768,0.44,,0.43,3,66.11%
0.2002,0.45,,0.44,9,67.98%
0.221,0.46,,0.45,6,69.23%
0.719,0.47,,0.46,3,69.85%
0.2972,0.48,,0.47,0,69.85%
0.384,0.49,,0.48,0,69.85%
0.1456,0.5,,0.49,0,69.85%
0.1376,0.51,,0.5,0,69.85%
0.1446,0.52,,0.51,0,69.85%
0.1602,0.53,,0.52,0,69.85%
0.173,0.54,,0.53,6,71.10%
0.5398,0.55,,0.54,9,72.97%
0.194,0.56,,0.55,9,74.84%
0.2092,0.57,,0.56,6,76.09%
0.2398,0.58,,0.57,7,77.55%
0.7282,0.59,,0.58,0,77.55%
0.279,0.6,,0.59,1,77.75%
0.3946,0.61,,0.6,6,79.00%
0.1294,0.62,,0.61,9,80.87%
0.1244,0.63,,0.62,4,81.70%
0.1452,0.64,,0.63,6,82.95%
0.1748,0.65,,0.64,0,82.95%
0.1844,0.66,,0.65,0,82.95%
0.5476,0.67,,0.66,0,82.95%
0.2138,0.68,,0.67,0,82.95%
0.2208,0.69,,0.68,0,82.95%
0.2452,0.7,,0.69,0,82.95%
0.7308,0.71,,0.7,6,84.20%
0.291,0.72,,0.71,6,85.45%
0.3944,0.73,,0.72,6,86.69%
0.131,0.74,,0.73,6,87.94%
0.1312,0.75,,0.74,9,89.81%
0.1496,0.76,,0.75,6,91.06%
0.1798,0.77,,0.76,0,91.06%
0.1862,0.78,,0.77,3,91.68%
0.5596,0.79,,0.78,7,93.14%
0.2258,0.8,,0.79,6,94.39%
0.2298,0.81,,0.8,0,94.39%
0.254,0.82,,0.81,12,96.88%
0.7426,0.83,,0.82,0,96.88%
0.3126,0.84,,0.83,0,96.88%
0.8034,0.85,,0.84,0,96.88%
0.533,0.86,,0.85,0,96.88%
0.5312,0.87,,0.86,3,97.51%
0.549,0.88,,0.87,3,98.13%
0.5494,0.89,,0.88,0,98.13%
0.5544,0.9,,0.89,0,98.13%
0.5624,0.91,,0.9,3,98.75%
0.6058,0.92,,0.91,3,99.38%
0.6048,0.93,,0.92,0,99.38%
0.61,0.94,,0.93,1,99.58%
0.894,0.95,,0.94,1,99.79%
0.6234,0.96,,0.95,0,99.79%
0.4164,0.97,,0.96,1,100.00%
0.1638,0.98,,0.97,0,100.00%
0.186,0.99,,0.98,0,100.00%
0.1702,1,,0.99,0,100.00%
0.2038,,,1,0,100.00%
0.2196,,,其他,0,100.00%
0.2284,,,,,
0.5958,,,,,
0.3622,,,,,
0.3944,,,,,
0.7464,,,,,
0.347,,,,,
0.435,,,,,
0.1898,,,,,
0.1916,,,,,
0.2008,,,,,
0.2076,,,,,
0.2194,,,,,
0.2266,,,,,
0.594,,,,,
0.371,,,,,
0.389,,,,,
0.7756,,,,,
0.3454,,,,,
0.4476,,,,,
0.2188,,,,,
0.226,,,,,
0.2364,,,,,
0.241,,,,,
0.2418,,,,,
0.2552,,,,,
0.6136,,,,,
0.3988,,,,,
0.4042,,,,,
0.7816,,,,,
0.3632,,,,,
0.8572,,,,,
0.7022,,,,,
0.7028,,,,,
0.711,,,,,
0.734,,,,,
0.7296,,,,,
0.7348,,,,,
0.9032,,,,,
0.7692,,,,,
0.775,,,,,
0.7822,,,,,
0.8092,,,,,
0.4478,,,,,
0.2594,,,,,
0.2768,,,,,
0.2758,,,,,
0.2826,,,,,
