0.2584,0.01,,,,,接收,频率,累积 %
0.2806,0.02,,,,,0.01,0,0.00%
0.2674,0.03,,,,,0.02,0,0.00%
0.304,0.04,,,,,0.03,0,0.00%
0.7896,0.05,,,,,0.04,30,6.24%
0.2968,0.06,,,,,0.05,9,8.11%
0.8168,0.07,,,,,0.06,6,9.36%
0.2976,0.08,,,,,0.07,12,11.85%
0.321,0.09,,,,,0.08,9,13.72%
0.3292,0.1,,,,,0.09,6,14.97%
0.8756,0.11,,,,,0.1,12,17.46%
0.3444,0.12,,,,,0.11,3,18.09%
0.2586,0.13,,,,,0.12,18,21.83%
0.0372,0.14,,,,,0.13,6,23.08%
0.039,0.15,,,,,0.14,12,25.57%
0.031,0.16,,,,,0.15,3,26.20%
0.3834,0.17,,,,,0.16,6,27.44%
0.0504,0.18,,,,,0.17,6,28.69%
0.493,0.19,,,,,0.18,9,30.56%
0.061,0.2,,,,,0.19,12,33.06%
0.078,0.21,,,,,0.2,3,33.68%
0.1118,0.22,,,,,0.21,6,34.93%
0.6872,0.23,,,,,0.22,6,36.17%
0.168,0.24,,,,,0.23,9,38.05%
0.2686,0.25,,,,,0.24,9,39.92%
0.0372,0.26,,,,,0.25,12,42.41%
0.0332,0.27,,,,,0.26,9,44.28%
0.0382,0.28,,,,,0.27,9,46.15%
0.3916,0.29,,,,,0.28,4,46.99%
0.0464,0.3,,,,,0.29,12,49.48%
0.5312,0.31,,,,,0.3,10,51.56%
0.0614,0.32,,,,,0.31,7,53.01%
0.085,0.33,,,,,0.32,1,53.22%
0.1116,0.34,,,,,0.33,12,55.72%
0.7036,0.35,,,,,0.34,3,56.34%
0.1722,0.36,,,,,0.35,3,56.96%
0.2804,0.37,,,,,0.36,0,56.96%
0.0384,0.38,,,,,0.37,0,56.96%
0.0362,0.39,,,,,0.38,3,57.59%
0.1182,0.4,,,,,0.39,6,58.84%
0.4034,0.41,,,,,0.4,3,59.46%
0.1358,0.42,,,,,0.41,6,60.71%
0.5296,0.43,,,,,0.42,3,61.33%
0.068,0.44,,,,,0.43,6,62.58%
0.091,0.45,,,,,0.44,6,63.83%
0.1264,0.46,,,,,0.45,1,64.03%
0.711,0.47,,,,,0.46,15,67.15%
0.1748,0.48,,,,,0.47,0,67.15%
0.2842,0.49,,,,,0.48,3,67.78%
0.0366,0.5,,,,,0.49,3,68.40%
