,handcard,win_rate
0,"['S2', 'S3']",0.1132
1,"['S2', 'S4']",0.1188
2,"['S2', 'S5']",0.1144
3,"['S2', 'S6']",0.3914
4,"['S2', 'S7']",0.116
5,"['S2', 'S8']",0.1228
6,"['S2', 'S9']",0.148
7,"['S2', 'ST']",0.1686
8,"['S2', 'SJ']",0.1854
9,"['S2', 'SQ']",0.5596
10,"['S2', 'SK']",0.241
11,"['S2', 'SA']",0.7238
12,"['S3', 'S2']",0.1092
13,"['S3', 'S4']",0.1312
14,"['S3', 'S5']",0.129
15,"['S3', 'S6']",0.4142
16,"['S3', 'S7']",0.1274
17,"['S3', 'S8']",0.1318
18,"['S3', 'S9']",0.1412
19,"['S3', 'ST']",0.1654
20,"['S3', 'SJ']",0.186
21,"['S3', 'SQ']",0.5764
22,"['S3', 'SK']",0.2506
23,"['S3', 'SA']",0.7246
24,"['S4', 'S2']",0.1076
25,"['S4', 'S3']",0.1214
26,"['S4', 'S5']",0.1506
27,"['S4', 'S6']",0.4158
28,"['S4', 'S7']",0.1492
29,"['S4', 'S8']",0.1438
30,"['S4', 'S9']",0.1338
31,"['S4', 'ST']",0.1706
32,"['S4', 'SJ']",0.2106
33,"['S4', 'SQ']",0.583
34,"['S4', 'SK']",0.2508
35,"['S4', 'SA']",0.7248
36,"['S5', 'S2']",0.1194
37,"['S5', 'S3']",0.1424
38,"['S5', 'S4']",0.1456
39,"['S5', 'S6']",0.4174
40,"['S5', 'S7']",0.1622
41,"['S5', 'S8']",0.1518
42,"['S5', 'S9']",0.1698
43,"['S5', 'ST']",0.1776
44,"['S5', 'SJ']",0.2132
45,"['S5', 'SQ']",0.6006
46,"['S5', 'SK']",0.2776
47,"['S5', 'SA']",0.746
48,"['S6', 'S2']",0.3926
49,"['S6', 'S3']",0.4014
50,"['S6', 'S4']",0.4106
51,"['S6', 'S5']",0.4156
52,"['S6', 'S7']",0.4508
53,"['S6', 'S8']",0.4424
54,"['S6', 'S9']",0.472
55,"['S6', 'ST']",0.4658
56,"['S6', 'SJ']",0.4886
57,"['S6', 'SQ']",0.8266
58,"['S6', 'SK']",0.4984
59,"['S6', 'SA']",0.8754
60,"['S7', 'S2']",0.1228
61,"['S7', 'S3']",0.1318
62,"['S7', 'S4']",0.1446
63,"['S7', 'S5']",0.1652
64,"['S7', 'S6']",0.4476
65,"['S7', 'S8']",0.1838
66,"['S7', 'S9']",0.189
67,"['S7', 'ST']",0.214
68,"['S7', 'SJ']",0.2278
69,"['S7', 'SQ']",0.6208
70,"['S7', 'SK']",0.2952
71,"['S7', 'SA']",0.7648
72,"['S8', 'S2']",0.1214
73,"['S8', 'S3']",0.1218
74,"['S8', 'S4']",0.1496
75,"['S8', 'S5']",0.164
76,"['S8', 'S6']",0.4602
77,"['S8', 'S7']",0.189
78,"['S8', 'S9']",0.207
79,"['S8', 'ST']",0.2248
80,"['S8', 'SJ']",0.2494
81,"['S8', 'SQ']",0.6276
82,"['S8', 'SK']",0.2954
83,"['S8', 'SA']",0.7674
84,"['S9', 'S2']",0.138
85,"['S9', 'S3']",0.1452
86,"['S9', 'S4']",0.1434
87,"['S9', 'S5']",0.1604
88,"['S9', 'S6']",0.4422
89,"['S9', 'S7']",0.1934
90,"['S9', 'S8']",0.2106
91,"['S9', 'ST']",0.2414
92,"['S9', 'SJ']",0.2702
93,"['S9', 'SQ']",0.6486
94,"['S9', 'SK']",0.3178
