,handcard,win_rate
0,"['S2', 'S3']",0.2666
1,"['S2', 'S4']",0.134
2,"['S2', 'S5']",0.3354
3,"['S2', 'S6']",0.162
4,"['S2', 'S7']",0.4168
5,"['S2', 'S8']",0.0934
6,"['S2', 'S9']",0.0884
7,"['S2', 'ST']",0.0932
8,"['S2', 'SJ']",0.0954
9,"['S2', 'SQ']",0.1174
10,"['S2', 'SK']",0.1506
11,"['S2', 'SA']",0.185
12,"['S3', 'S2']",0.2686
13,"['S3', 'S4']",0.3496
14,"['S3', 'S5']",0.64
15,"['S3', 'S6']",0.3918
16,"['S3', 'S7']",0.6864
17,"['S3', 'S8']",0.308
18,"['S3', 'S9']",0.3094
19,"['S3', 'ST']",0.3202
20,"['S3', 'SJ']",0.3228
21,"['S3', 'SQ']",0.3162
22,"['S3', 'SK']",0.339
23,"['S3', 'SA']",0.3344
24,"['S4', 'S2']",0.1446
25,"['S4', 'S3']",0.3484
26,"['S4', 'S5']",0.4136
27,"['S4', 'S6']",0.8332
28,"['S4', 'S7']",0.487
29,"['S4', 'S8']",0.213
30,"['S4', 'S9']",0.1958
31,"['S4', 'ST']",0.2108
32,"['S4', 'SJ']",0.2216
33,"['S4', 'SQ']",0.2326
34,"['S4', 'SK']",0.2688
35,"['S4', 'SA']",0.3112
36,"['S5', 'S2']",0.334
37,"['S5', 'S3']",0.6482
38,"['S5', 'S4']",0.4202
39,"['S5', 'S6']",0.4472
40,"['S5', 'S7']",0.6962
41,"['S5', 'S8']",0.3966
42,"['S5', 'S9']",0.387
43,"['S5', 'ST']",0.3972
44,"['S5', 'SJ']",0.4078
45,"['S5', 'SQ']",0.4228
46,"['S5', 'SK']",0.4178
47,"['S5', 'SA']",0.411
48,"['S6', 'S2']",0.1552
49,"['S6', 'S3']",0.3602
50,"['S6', 'S4']",0.8384
51,"['S6', 'S5']",0.4574
52,"['S6', 'S7']",0.5234
53,"['S6', 'S8']",0.3646
54,"['S6', 'S9']",0.3454
55,"['S6', 'ST']",0.234
56,"['S6', 'SJ']",0.2588
57,"['S6', 'SQ']",0.2766
58,"['S6', 'SK']",0.3068
59,"['S6', 'SA']",0.3608
60,"['S7', 'S2']",0.4248
61,"['S7', 'S3']",0.6778
62,"['S7', 'S4']",0.4918
63,"['S7', 'S5']",0.6888
64,"['S7', 'S6']",0.5192
65,"['S7', 'S8']",0.4922
66,"['S7', 'S9']",0.4684
67,"['S7', 'ST']",0.4736
68,"['S7', 'SJ']",0.4942
69,"['S7', 'SQ']",0.5004
70,"['S7', 'SK']",0.515
71,"['S7', 'SA']",0.515
72,"['S8', 'S2']",0.0994
73,"['S8', 'S3']",0.3242
74,"['S8', 'S4']",0.2188
75,"['S8', 'S5']",0.3962
76,"['S8', 'S6']",0.354
77,"['S8', 'S7']",0.4828
78,"['S8', 'S9']",0.2722
79,"['S8', 'ST']",0.176
80,"['S8', 'SJ']",0.174
81,"['S8', 'SQ']",0.178
82,"['S8', 'SK']",0.2102
83,"['S8', 'SA']",0.2538
84,"['S9', 'S2']",0.0926
85,"['S9', 'S3']",0.3074
86,"['S9', 'S4']",0.2062
87,"['S9', 'S5']",0.3878
88,"['S9', 'S6']",0.3216
89,"['S9', 'S7']",0.4834
90,"['S9', 'S8']",0.2724
91,"['S9', 'ST']",0.1694
92,"['S9', 'SJ']",0.1708
93,"['S9', 'SQ']",0.2046
94,"['S9', 'SK']",0.1996
95,"['S9', 'SA']",0.257
96,"['ST', 'S2']",0.085
97,"['ST', 'S3']",0.306
98,"['ST', 'S4']",0.204
99,"['ST', 'S5']",0.388
100,"['ST', 'S6']",0.2384
101,"['ST', 'S7']",0.4766
102,"['ST', 'S8']",0.1698
103,"['ST', 'S9']",0.1544
104,"['ST', 'SJ']",0.165
105,"['ST', 'SQ']",0.1856
106,"['ST', 'SK']",0.2026
107,"['ST', 'SA']",0.2588
108,"['SJ', 'S2']",0.108
109,"['SJ', 'S3']",0.3118
110,"['SJ', 'S4']",0.216
111,"['SJ', 'S5']",0.4014
112,"['SJ', 'S6']",0.2462
113,"['SJ', 'S7']",0.501
114,"['SJ', 'S8']",0.1768
115,"['SJ', 'S9']",0.178
116,"['SJ', 'ST']",0.1756
117,"['SJ', 'SQ']",0.1784
118,"['SJ', 'SK']",0.2204
119,"['SJ', 'SA']",0.2714
120,"['SQ', 'S2']",0.121
121,"['SQ', 'S3']",0.3238
122,"['SQ', 'S4']",0.2434
123,"['SQ', 'S5']",0.396
124,"['SQ', 'S6']",0.276
125,"['SQ', 'S7']",0.498
126,"['SQ', 'S8']",0.186
127,"['SQ', 'S9']",0.1876
128,"['SQ', 'ST']",0.182
129,"['SQ', 'SJ']",0.1838
130,"['SQ', 'SK']",0.2268
131,"['SQ', 'SA']",0.274
132,"['SK', 'S2']",0.1454
133,"['SK', 'S3']",0.334
134,"['SK', 'S4']",0.2798
135,"['SK', 'S5']",0.4202
136,"['SK', 'S6']",0.298
137,"['SK', 'S7']",0.503
138,"['SK', 'S8']",0.2038
139,"['SK', 'S9']",0.2196
140,"['SK', 'ST']",0.2122
141,"['SK', 'SJ']",0.2226
142,"['SK', 'SQ']",0.2308
143,"['SK', 'SA']",0.301
144,"['SA', 'S2']",0.1882
145,"['SA', 'S3']",0.3502
146,"['SA', 'S4']",0.2968
147,"['SA', 'S5']",0.4186
148,"['SA', 'S6']",0.35
149,"['SA', 'S7']",0.524
150,"['SA', 'S8']",0.2538
151,"['SA', 'S9']",0.2644
152,"['SA', 'ST']",0.2572
153,"['SA', 'SJ']",0.279
154,"['SA', 'SQ']",0.2684
155,"['SA', 'SK']",0.2678
